"","name","country_parent","total","dems","repubs","year"
"165","Otsuka America (Otsuka Pharmaceutical)","Japan/Otsuka Pharmaceutical","$33,000","$18,000","$15,000",2016
"166","Patheon Pharmaceuticals","Netherlands/Patheon NV","$2,500","$0","$2,500",2016
"167","Permobil Inc (Investor AB)","Sweden/Investor AB","$13,250","$2,500","$10,750",2016
"168","Pernod Ricard USA","France/Pernod Ricard SA","$4,500","$2,500","$2,000",2016
"169","Peter Pan Seafoods","Japan/Maruha Nichiro Holdings","$1,250","$750","$500",2016
"170","Pharmavite LLC (Otsuka Pharmaceutical)","Japan/Otsuka Pharmaceutical","$72,093","$35,000","$37,093",2016
"171","Philips Electronics North America (Philips)","Netherlands/Philips","$64,500","$18,500","$46,000",2016
"172","PotashCorp","Canada/Potash Corporation of Saskatchewan","$17,500","$1,500","$16,000",2016
"173","Prime Policy Group (WPP Group)","UK/WPP Group","$52,000","$17,000","$35,000",2016
"174","Private Bank Inc","Canada/Canadian Imperial Bank of Commerce","$2,000","$0","$2,000",2016
"175","Protective Life Corp (Dai-Ichi Life)","Japan/Dai-Ichi Life","$47,900","$6,000","$41,900",2016
"176","Putnam Investments (Power Financial Corp)","Canada/Power Financial Corp","$23,030","$7,000","$16,030",2016
"177","RBC Bank (Royal Bank of Canada)","Canada/Royal Bank of Canada","$51,800","$27,100","$24,700",2016
"178","RELX Inc","UK/RELX Group","$213,117","$96,657","$116,460",2016
"179","Renewable Energy Systems Americas","UK/Renewable Energy Systems","$14,400","$10,400","$4,000",2016
"180","Res-Care Inc (Onex Corp)","Canada/Onex Corp","$14,950","$3,000","$11,950",2016
"181","Resolute FP US","Canada/Resolute Forest Products","$69,000","$16,000","$53,000",2016
"182","Rio Tinto America","UK/Rio Tinto Group","$18,000","$3,500","$14,500",2016
"183","Roho Group (Investor AB)","Sweden/Investor AB","$8,250","$5,250","$3,000",2016
"184","Rolls-Royce North America (Rolls-Royce PLC)","UK/Rolls-Royce PLC","$245,825","$65,000","$180,825",2016
"185","Royal Ten Cate USA","Netherlands/Koninklijke Ten Cate","$39,381","$7,881","$31,500",2016
"186","Safelite Group","Belgium/D'Ieteren SA","$4,000","$0","$4,000",2016
"187","Samsung Electronics America","South Korea/Samsung Group","$0","$0","$0",2016
"188","Sanofi Genzyme (Sanofi)","France/Sanofi","$44,500","$37,500","$7,000",2016
"189","Sanofi US (Sanofi)","France/Sanofi","$566,475","$174,000","$392,475",2016
"190","Sanofi-Pasteur Inc (Sanofi)","France/Sanofi","$87,500","$23,000","$64,500",2016
"191","Santander Bank (Banco Santander)","Spain/Banco Santander","$0","$0","$0",2016
"192","SAP America","Germany/SAP SE","$125,700","$77,500","$48,200",2016
"193","Securitas Security Services USA","Sweden/Securitas AB","$23,500","$0","$23,500",2016
"194","Serco Inc","UK/Serco Group","$60,000","$25,000","$35,000",2016
"195","Shell Oil","Netherlands/Royal Dutch Shell","$88,500","$15,000","$73,500",2016
"196","Shire Regenerative Medicine (Shire Plc)","UK/Shire Plc","$0","$0","$0",2016
"197","Siemens Corp","Germany/Siemens AG","$250,430","$69,180","$181,250",2016
"198","Smith & Nephew","UK/Smith & Nephew Plc","$64,000","$21,000","$43,000",2016
"199","Smithfield Foods","China/WH Group","$93,650","$35,650","$58,000",2016
"200","Smiths Group Services Corp","UK/Smiths Group PLC","$145,200","$51,000","$94,200",2016
"201","Sodexo Inc","France/Sodexo","$4,500","$1,500","$3,000",2016
"202","Solvay America (Solvay SA)","Belgium/Solvay SA","$58,400","$29,000","$29,400",2016
"203","Sony Pictures Entertainment (Sony Corp)","Japan/Sony Corp","$198,000","$105,000","$93,000",2016
"204","Space Systems/Loral","Canada/MacDonald, Dettwiler & Assoc","$3,500","$0","$3,500",2016
"205","Sprint Communications (SoftBank Corp)","Japan/Softbank Corp","$250,000","$107,000","$142,000",2016
"206","SSAB Americas","Sweden/SSAB AB","$25,500","$7,000","$18,500",2016
"207","Standard Insurance Co","Japan/Meiji Yasuda Life Insurance","$9,000","$4,000","$5,000",2016
"208","Steris Corp","UK/Steris PLC","$59,150","$17,250","$41,900",2016
"209","SUEZ Water","France/SUEZ Environnement","$28,600","$11,000","$17,600",2016
"210","Sunovion Pharmaceuticals","Japan/Sumitomo Chemical","$64,000","$27,500","$36,500",2016
"211","Sunpower Corp","France/Total SA","$19,400","$13,700","$5,700",2016
"212","Swedish Match North America (Swedish Match AB)","Sweden/Swedish Match AB","$39,000","$5,500","$33,500",2016
"213","Swiss Re America","Switzerland/Swiss Reinsurance","$71,500","$32,000","$39,500",2016
"214","Syngenta Corp","Switzerland/Syngenta AG","$287,200","$87,000","$200,200",2016
"215","T-Mobile USA","Germany/Deutsche Telekom AG","$432,250","$206,250","$223,000",2016
"216","Takeda Pharmaceuticals USA (Takeda Pharmaceutical Co)","Japan/Takeda Pharmaceutical Co","$86,500","$57,500","$29,000",2016
"217","Tate & Lyle Americas (Tate & Lyle)","UK/Tate & Lyle","$23,000","$4,500","$18,500",2016
"218","TD Bank USA","Canada/Toronto-Dominion Bank","$109,250","$47,500","$61,750",2016
"219","TE Connectivity","Switzerland/TE Connectivity","$120,700","$37,000","$83,700",2016
"220","TECO Energy","Canada/Emera Inc","$45,500","$4,500","$41,000",2016
"221","Terumo BCT","Japan/Terumo Corp","$0","$0","$0",2016
"222","Teva Pharmaceuticals USA","Israel/Teva Pharmaceutical Industries","$179,500","$82,500","$97,000",2016
"223","Toyota Motor North America","Japan/Toyota Motor Corp","$598,500","$277,000","$321,500",2016
"224","TracFone Wireless","Mexico/America Movil","$17,000","$8,000","$9,000",2016
"225","TransAmerica","Netherlands/Aegon NV","$360,500","$154,000","$206,500",2016
"226","Transcanada USA Services (Transcanada Corp)","Canada/TransCanada Corp","$7,000","$2,000","$5,000",2016
"227","Travelport Inc","UK/Travelport Ltd","$1,000","$0","$1,000",2016
"228","Tronox Limited Alkali","Australia/Tronox Inc","$16,000","$10,000","$6,000",2016
"229","UBS Americas","Switzerland/UBS AG","$1,445,490","$676,240","$769,250",2016
"230","UCB Inc (UCB SA)","Belgium/UCB SA","$9,000","$3,000","$6,000",2016
"231","Ultra Electronics USA","UK/Ultra Electronics","$24,500","$0","$24,500",2016
"232","United Illuminating (Iberdrola SA)","Spain/Iberdrola SA","$4,000","$500","$3,500",2016
"233","Universal Music Group (Vivendi)","France/Vivendi","$98,500","$45,500","$53,000",2016
"234","VT Halter Marine","Singapore/ST Engineering","$4,500","$0","$4,500",2016
"235","Weatherford US","UK/Weatherford International","$0","$0","$0",2016
"236","Westfield Corp","Australia/Westfield Group of Australia","$15,035","$10,035","$5,000",2016
"237","Westinghouse Electric","Japan/Toshiba Corp","$117,700","$26,000","$91,700",2016
"238","Wexler & Walker Public Policy Assoc (WPP Group)","UK/WPP Group","$42,750","$11,000","$31,750",2016
"239","Willis North America","UK/Willis Group","$6,500","$0","$6,500",2016
"240","WSP Parsons Brinckerhoff","Canada/WSP Global","$141,950","$78,950","$63,000",2016
"241","XL America","Ireland/XL Group PLC","$0","$0","$0",2016
"242","ZF TRW Automotive (ZF Friedrichshafen AG)","Germany/ZF Friedrichshafen AG","$53,000","$17,000","$36,000",2016
"243","Zurich Insurance (Zurich Insurance Group)","Switzerland/Zurich Insurance Group","$138,500","$54,500","$84,000",2016
