"","name","country_parent","total","dems","repubs","year"
"44","Budd Co","Germany/ThyssenKrupp AG","$1,000","$1,000","$0",2002
"45","Burns International Services (Securitas AB)","Sweden/Securitas AB","$0","$0","$0",2002
"46","Burson-Marsteller (WPP Group)","UK/WPP Group","$91,540","$38,040","$52,500",2002
"47","Business Men's Assurance Co","Italy/Assicurazioni Generali","$2,500","$1,500","$1,000",2002
"48","BWX Technologies (McDermott International)","Panama/McDermott International","$38,650","$10,050","$28,600",2002
"49","Cable & Wireless USA","UK/Cable & Wireless PLC","$52,100","$24,000","$28,100",2002
"50","Case New Holland","Italy/Fiat SPA","$46,500","$4,500","$42,000",2002
"51","Celanese Americas Corp","Germany/Celanese AG","$74,500","$22,500","$52,000",2002
"52","Central Soya Co","France/Cereol","$11,300","$2,000","$9,300",2002
"53","CGU Corp","UK/CGNU PLC","$0","$0","$0",2002
"54","Ciba Specialty Chemicals","Switzerland/Ciba Specialty Chemicals Holding","$29,500","$7,500","$22,000",2002
"55","CIBC Oppenheimer","Canada/Canadian Imperial Bank of Commerce","$0","$0","$0",2002
"56","Cooper Industries","Ireland/Cooper Industries Ltd","$187,500","$0","$187,500",2002
"57","Coral Energy (Royal Dutch/Shell Group of Companies)","Netherlands/Royal Dutch Shell","$0","$0","$0",2002
"58","Credit Suisse First Boston (Credit Suisse Group)","Switzerland/Credit Suisse Group","$298,312","$135,812","$162,500",2002
"59","Credit Suisse First Boston (Credit Suisse Group)","Switzerland/Credit Suisse Group","$0","$0","$0",2002
"60","DaimlerChrysler (DaimlerChrysler)","Germany/DaimlerChrysler AG","$483,090","$196,590","$286,500",2002
"61","Diageo North America (Diageo PLC)","UK/Diageo PLC","$61,000","$24,000","$37,000",2002
"62","E ON US","Germany/Eon AG","$4,850","$500","$4,350",2002
"63","Equitable Life Assurance Society (AXA)","France/AXA","$104,500","$39,500","$65,000",2002
"64","Essroc Corp","Italy/Italcementi Group","$2,600","$1,500","$1,100",2002
"65","Experian (GUS plc)","UK/GUS plc","$1,000","$0","$1,000",2002
"66","Experian (GUS Plc)","UK/GUS plc","$0","$0","$0",2002
"67","Farmers Group (Zurich Financial Services)","Switzerland/Zurich Financial Services","$36,650","$7,300","$29,350",2002
"68","First Hawaiian Bank (BNP Paribas)","France/BNP Paribas","$5,200","$5,200","$0",2002
"69","Food Lion","Belgium/Delhaize Group","$37,750","$10,000","$27,750",2002
"70","Fortis Inc","Belgium/Fortis AG","$79,000","$21,000","$58,000",2002
"71","Foster Wheeler","Switzerland/Foster Wheeler PLC","$8,800","$1,000","$7,800",2002
"72","Genentech Inc (Roche Holdings)","Switzerland/Roche Group","$128,250","$71,500","$56,750",2002
"73","GKN Corp","UK/GKN PLC","$630","$0","$630",2002
"74","GlaxoSmithKline (GlaxoSmithKline)","UK/GlaxoSmithKline","$769,042","$193,923","$575,119",2002
"75","GlaxoSmithKline (GlaxoSmithKline)","UK/GlaxoSmithKline","-$4,000","-$500","-$3,500",2002
"76","Grand Trunk Western-Illinois Central RR","Canada/Canadian National Railway","$21,825","$12,675","$9,150",2002
"77","Great-West Life & Annuity Insurance (Power Financial Corp)","Canada/Power Financial Corp","$35,550","$4,050","$31,500",2002
"78","Greyhound Lines","Canada/Laidlaw","$39,500","$24,500","$15,000",2002
